date_key,full_date,year,quarter,month,month_name,month_index
20180510,2018-05-10,2018,2,5,May,20
20180511,2018-05-11,2018,2,5,May,20
20180512,2018-05-12,2018,2,5,May,20
20180513,2018-05-13,2018,2,5,May,20
20180514,2018-05-14,2018,2,5,May,20
20180515,2018-05-15,2018,2,5,May,20
20180516,2018-05-16,2018,2,5,May,20
20180517,2018-05-17,2018,2,5,May,20
20180518,2018-05-18,2018,2,5,May,20
20180519,2018-05-19,2018,2,5,May,20
20180520,2018-05-20,2018,2,5,May,20
20180521,2018-05-21,2018,2,5,May,20
20180522,2018-05-22,2018,2,5,May,20
20180523,2018-05-23,2018,2,5,May,20
20180524,2018-05-24,2018,2,5,May,20
20180525,2018-05-25,2018,2,5,May,20
